10000
+8.7221389e-03	-5.8833326e-03	+0.0000000e+00	+0.0000000e+00	+2.1426977e-02	-1.4096159e-02	+2.1426977e-02	-1.4096159e-02	+0.0000000e+00	+0.0000000e+00	+2.1426977e-02	-1.4096159e-02	+2.1426977e-02	-1.4096159e-02
+7.9844791e-03	+4.2639326e-03	+0.0000000e+00	+0.0000000e+00	+2.6790535e-01	+1.1738258e-01	+2.6790535e-01	+1.1738258e-01	+0.0000000e+00	+0.0000000e+00	+2.6790535e-01	+1.1738258e-01	+2.6790535e-01	+1.1738258e-01
-3.2177305e-03	+5.3128349e-03	+0.0000000e+00	+0.0000000e+00	-2.0440033e-01	-3.8347445e-01	-2.0440033e-01	-3.8347445e-01	+0.0000000e+00	+0.0000000e+00	-2.0440033e-01	-3.8347445e-01	-2.0440033e-01	-3.8347445e-01
-4.8578153e-03	-5.0057708e-03	+0.0000000e+00	+0.0000000e+00	-6.2546109e-03	+1.4296889e-01	-6.2546109e-03	+1.4296889e-01	+0.0000000e+00	+0.0000000e+00	-6.2546109e-03	+1.4296889e-01	-6.2546109e-03	+1.4296889e-01
+2.8896357e-03	-2.4254670e-05	-1.5422561e-02	+2.5892224e-04	-2.0744911e-01	-1.0687688e-01	-2.2287167e-01	-1.0661796e-01	-1.5422561e-02	+2.5892224e-04	-2.0744911e-01	-1.0687688e-01	-2.2287167e-01	-1.0661796e-01
-7.6285258e-03	+2.5852790e-03	+0.0000000e+00	+0.0000000e+00	+1.3296813e-01	-8.7719755e-02	+1.3296813e-01	-8.7719755e-02	+0.0000000e+00	+0.0000000e+00	+1.3296813e-01	-8.7719755e-02	+1.3296813e-01	-8.7719755e-02
+3.4778687e-03	-6.8449637e-03	+0.0000000e+00	+0.0000000e+00	+1.1341651e-03	-1.0717659e-01	+1.1341651e-03	-1.0717659e-01	+0.0000000e+00	+0.0000000e+00	+1.1341651e-03	-1.0717659e-01	+1.1341651e-03	-1.0717659e-01
-7.2749722e-03	-6.4904568e-03	+0.0000000e+00	+0.0000000e+00	-1.3244197e-01	+9.8000005e-02	-1.3244197e-01	+9.8000005e-02	+0.0000000e+00	+0.0000000e+00	-1.3244197e-01	+9.8000005e-02	-1.3244197e-01	+9.8000005e-02
-4.7626922e-03	-1.1895211e-03	+0.0000000e+00	+0.0000000e+00	-4.6318945e-02	-1.4669995e-01	-4.6318945e-02	-1.4669995e-01	+0.0000000e+00	+0.0000000e+00	-4.6318945e-02	-1.4669995e-01	-4.6318945e-02	-1.4669995e-01
-1.0328707e-03	-7.9353739e-03	+0.0000000e+00	+0.0000000e+00	+1.0338446e-02	+7.4790176e-03	+1.0338446e-02	+7.4790176e-03	+0.0000000e+00	+0.0000000e+00	+1.0338446e-02	+7.4790176e-03	+1.0338446e-02	+7.4790176e-03
